sample_id,drug_id,drug_name,cell_context,dose_value,time,n_cells,smiles,scaffold,pubchem_cid
Decitabine__K562__10000nM__24h,Decitabine,Decitabine,K562,10000.0,24.0,215,C1[C@@H]([C@H](O[C@H]1N2C=NC(=NC2=O)N)CO)O,O=c1ncncn1[C@H]1CCCO1,451668
Decitabine__MCF7__10nM__24h,Decitabine,Decitabine,MCF7,10.0,24.0,439,C1[C@@H]([C@H](O[C@H]1N2C=NC(=NC2=O)N)CO)O,O=c1ncncn1[C@H]1CCCO1,451668
Decitabine__MCF7__100nM__24h,Decitabine,Decitabine,MCF7,100.0,24.0,338,C1[C@@H]([C@H](O[C@H]1N2C=NC(=NC2=O)N)CO)O,O=c1ncncn1[C@H]1CCCO1,451668
Decitabine__MCF7__1000nM__24h,Decitabine,Decitabine,MCF7,1000.0,24.0,358,C1[C@@H]([C@H](O[C@H]1N2C=NC(=NC2=O)N)CO)O,O=c1ncncn1[C@H]1CCCO1,451668
Decitabine__MCF7__10000nM__24h,Decitabine,Decitabine,MCF7,10000.0,24.0,454,C1[C@@H]([C@H](O[C@H]1N2C=NC(=NC2=O)N)CO)O,O=c1ncncn1[C@H]1CCCO1,451668
Disulfiram __A549__10nM__24h,Disulfiram ,Disulfiram ,A549,10.0,24.0,262,CCN(CC)C(=S)SSC(=S)N(CC)CC,,3117
Disulfiram __A549__100nM__24h,Disulfiram ,Disulfiram ,A549,100.0,24.0,205,CCN(CC)C(=S)SSC(=S)N(CC)CC,,3117
Disulfiram __A549__1000nM__24h,Disulfiram ,Disulfiram ,A549,1000.0,24.0,249,CCN(CC)C(=S)SSC(=S)N(CC)CC,,3117
Disulfiram __A549__10000nM__24h,Disulfiram ,Disulfiram ,A549,10000.0,24.0,247,CCN(CC)C(=S)SSC(=S)N(CC)CC,,3117
Disulfiram __K562__10nM__24h,Disulfiram ,Disulfiram ,K562,10.0,24.0,234,CCN(CC)C(=S)SSC(=S)N(CC)CC,,3117
Disulfiram __K562__100nM__24h,Disulfiram ,Disulfiram ,K562,100.0,24.0,278,CCN(CC)C(=S)SSC(=S)N(CC)CC,,3117
Disulfiram __K562__1000nM__24h,Disulfiram ,Disulfiram ,K562,1000.0,24.0,279,CCN(CC)C(=S)SSC(=S)N(CC)CC,,3117
Disulfiram __K562__10000nM__24h,Disulfiram ,Disulfiram ,K562,10000.0,24.0,242,CCN(CC)C(=S)SSC(=S)N(CC)CC,,3117
Disulfiram __MCF7__10nM__24h,Disulfiram ,Disulfiram ,MCF7,10.0,24.0,409,CCN(CC)C(=S)SSC(=S)N(CC)CC,,3117
Disulfiram __MCF7__100nM__24h,Disulfiram ,Disulfiram ,MCF7,100.0,24.0,293,CCN(CC)C(=S)SSC(=S)N(CC)CC,,3117
Disulfiram __MCF7__1000nM__24h,Disulfiram ,Disulfiram ,MCF7,1000.0,24.0,324,CCN(CC)C(=S)SSC(=S)N(CC)CC,,3117
Disulfiram __MCF7__10000nM__24h,Disulfiram ,Disulfiram ,MCF7,10000.0,24.0,449,CCN(CC)C(=S)SSC(=S)N(CC)CC,,3117
Divalproex Sodium__A549__10nM__24h,Divalproex Sodium,Divalproex Sodium,A549,10.0,24.0,184,CCCC(CCC)C(=O)O.CCCC(CCC)C(=O)[O-].[Na+],,23663956
Divalproex Sodium__A549__100nM__24h,Divalproex Sodium,Divalproex Sodium,A549,100.0,24.0,220,CCCC(CCC)C(=O)O.CCCC(CCC)C(=O)[O-].[Na+],,23663956
Divalproex Sodium__A549__1000nM__24h,Divalproex Sodium,Divalproex Sodium,A549,1000.0,24.0,134,CCCC(CCC)C(=O)O.CCCC(CCC)C(=O)[O-].[Na+],,23663956
Divalproex Sodium__A549__10000nM__24h,Divalproex Sodium,Divalproex Sodium,A549,10000.0,24.0,171,CCCC(CCC)C(=O)O.CCCC(CCC)C(=O)[O-].[Na+],,23663956
Divalproex Sodium__K562__10nM__24h,Divalproex Sodium,Divalproex Sodium,K562,10.0,24.0,254,CCCC(CCC)C(=O)O.CCCC(CCC)C(=O)[O-].[Na+],,23663956
Divalproex Sodium__K562__100nM__24h,Divalproex Sodium,Divalproex Sodium,K562,100.0,24.0,235,CCCC(CCC)C(=O)O.CCCC(CCC)C(=O)[O-].[Na+],,23663956
Divalproex Sodium__K562__1000nM__24h,Divalproex Sodium,Divalproex Sodium,K562,1000.0,24.0,289,CCCC(CCC)C(=O)O.CCCC(CCC)C(=O)[O-].[Na+],,23663956
Divalproex Sodium__K562__10000nM__24h,Divalproex Sodium,Divalproex Sodium,K562,10000.0,24.0,241,CCCC(CCC)C(=O)O.CCCC(CCC)C(=O)[O-].[Na+],,23663956
Divalproex Sodium__MCF7__10nM__24h,Divalproex Sodium,Divalproex Sodium,MCF7,10.0,24.0,529,CCCC(CCC)C(=O)O.CCCC(CCC)C(=O)[O-].[Na+],,23663956
Divalproex Sodium__MCF7__100nM__24h,Divalproex Sodium,Divalproex Sodium,MCF7,100.0,24.0,500,CCCC(CCC)C(=O)O.CCCC(CCC)C(=O)[O-].[Na+],,23663956
Divalproex Sodium__MCF7__1000nM__24h,Divalproex Sodium,Divalproex Sodium,MCF7,1000.0,24.0,641,CCCC(CCC)C(=O)O.CCCC(CCC)C(=O)[O-].[Na+],,23663956
Divalproex Sodium__MCF7__10000nM__24h,Divalproex Sodium,Divalproex Sodium,MCF7,10000.0,24.0,584,CCCC(CCC)C(=O)O.CCCC(CCC)C(=O)[O-].[Na+],,23663956
Droxinostat__A549__10nM__24h,Droxinostat,Droxinostat,A549,10.0,24.0,283,CC1=C(C=CC(=C1)Cl)OCCCC(=O)NO,c1ccccc1,568416
Droxinostat__A549__100nM__24h,Droxinostat,Droxinostat,A549,100.0,24.0,276,CC1=C(C=CC(=C1)Cl)OCCCC(=O)NO,c1ccccc1,568416
Droxinostat__A549__1000nM__24h,Droxinostat,Droxinostat,A549,1000.0,24.0,256,CC1=C(C=CC(=C1)Cl)OCCCC(=O)NO,c1ccccc1,568416
Droxinostat__A549__10000nM__24h,Droxinostat,Droxinostat,A549,10000.0,24.0,242,CC1=C(C=CC(=C1)Cl)OCCCC(=O)NO,c1ccccc1,568416
Droxinostat__K562__10nM__24h,Droxinostat,Droxinostat,K562,10.0,24.0,236,CC1=C(C=CC(=C1)Cl)OCCCC(=O)NO,c1ccccc1,568416
Droxinostat__K562__100nM__24h,Droxinostat,Droxinostat,K562,100.0,24.0,236,CC1=C(C=CC(=C1)Cl)OCCCC(=O)NO,c1ccccc1,568416
Droxinostat__K562__1000nM__24h,Droxinostat,Droxinostat,K562,1000.0,24.0,261,CC1=C(C=CC(=C1)Cl)OCCCC(=O)NO,c1ccccc1,568416
Droxinostat__K562__10000nM__24h,Droxinostat,Droxinostat,K562,10000.0,24.0,204,CC1=C(C=CC(=C1)Cl)OCCCC(=O)NO,c1ccccc1,568416
Droxinostat__MCF7__10nM__24h,Droxinostat,Droxinostat,MCF7,10.0,24.0,490,CC1=C(C=CC(=C1)Cl)OCCCC(=O)NO,c1ccccc1,568416
Droxinostat__MCF7__100nM__24h,Droxinostat,Droxinostat,MCF7,100.0,24.0,514,CC1=C(C=CC(=C1)Cl)OCCCC(=O)NO,c1ccccc1,568416
Droxinostat__MCF7__1000nM__24h,Droxinostat,Droxinostat,MCF7,1000.0,24.0,477,CC1=C(C=CC(=C1)Cl)OCCCC(=O)NO,c1ccccc1,568416
Droxinostat__MCF7__10000nM__24h,Droxinostat,Droxinostat,MCF7,10000.0,24.0,532,CC1=C(C=CC(=C1)Cl)OCCCC(=O)NO,c1ccccc1,568416
EED226__A549__10nM__24h,EED226,EED226,A549,10.0,24.0,170,CS(=O)(=O)C1=CC=C(C=C1)C2=CN=C(N3C2=NN=C3)NCC4=CC=CO4,c1ccc(-c2cnc(NCc3ccco3)n3cnnc23)cc1,123132228
EED226__A549__100nM__24h,EED226,EED226,A549,100.0,24.0,186,CS(=O)(=O)C1=CC=C(C=C1)C2=CN=C(N3C2=NN=C3)NCC4=CC=CO4,c1ccc(-c2cnc(NCc3ccco3)n3cnnc23)cc1,123132228
EED226__A549__1000nM__24h,EED226,EED226,A549,1000.0,24.0,224,CS(=O)(=O)C1=CC=C(C=C1)C2=CN=C(N3C2=NN=C3)NCC4=CC=CO4,c1ccc(-c2cnc(NCc3ccco3)n3cnnc23)cc1,123132228
EED226__A549__10000nM__24h,EED226,EED226,A549,10000.0,24.0,182,CS(=O)(=O)C1=CC=C(C=C1)C2=CN=C(N3C2=NN=C3)NCC4=CC=CO4,c1ccc(-c2cnc(NCc3ccco3)n3cnnc23)cc1,123132228
EED226__K562__10nM__24h,EED226,EED226,K562,10.0,24.0,255,CS(=O)(=O)C1=CC=C(C=C1)C2=CN=C(N3C2=NN=C3)NCC4=CC=CO4,c1ccc(-c2cnc(NCc3ccco3)n3cnnc23)cc1,123132228
EED226__K562__100nM__24h,EED226,EED226,K562,100.0,24.0,249,CS(=O)(=O)C1=CC=C(C=C1)C2=CN=C(N3C2=NN=C3)NCC4=CC=CO4,c1ccc(-c2cnc(NCc3ccco3)n3cnnc23)cc1,123132228
EED226__K562__1000nM__24h,EED226,EED226,K562,1000.0,24.0,254,CS(=O)(=O)C1=CC=C(C=C1)C2=CN=C(N3C2=NN=C3)NCC4=CC=CO4,c1ccc(-c2cnc(NCc3ccco3)n3cnnc23)cc1,123132228
EED226__K562__10000nM__24h,EED226,EED226,K562,10000.0,24.0,236,CS(=O)(=O)C1=CC=C(C=C1)C2=CN=C(N3C2=NN=C3)NCC4=CC=CO4,c1ccc(-c2cnc(NCc3ccco3)n3cnnc23)cc1,123132228
EED226__MCF7__10nM__24h,EED226,EED226,MCF7,10.0,24.0,514,CS(=O)(=O)C1=CC=C(C=C1)C2=CN=C(N3C2=NN=C3)NCC4=CC=CO4,c1ccc(-c2cnc(NCc3ccco3)n3cnnc23)cc1,123132228
EED226__MCF7__100nM__24h,EED226,EED226,MCF7,100.0,24.0,433,CS(=O)(=O)C1=CC=C(C=C1)C2=CN=C(N3C2=NN=C3)NCC4=CC=CO4,c1ccc(-c2cnc(NCc3ccco3)n3cnnc23)cc1,123132228
EED226__MCF7__1000nM__24h,EED226,EED226,MCF7,1000.0,24.0,528,CS(=O)(=O)C1=CC=C(C=C1)C2=CN=C(N3C2=NN=C3)NCC4=CC=CO4,c1ccc(-c2cnc(NCc3ccco3)n3cnnc23)cc1,123132228
EED226__MCF7__10000nM__24h,EED226,EED226,MCF7,10000.0,24.0,589,CS(=O)(=O)C1=CC=C(C=C1)C2=CN=C(N3C2=NN=C3)NCC4=CC=CO4,c1ccc(-c2cnc(NCc3ccco3)n3cnnc23)cc1,123132228
ENMD-2076__A549__10nM__24h,ENMD-2076,ENMD-2076,A549,10.0,24.0,251,CC1=CC(=NN1)NC2=CC(=NC(=N2)/C=C/C3=CC=CC=C3)N4CCN(CC4)C,C(=C/c1nc(Nc2cc[nH]n2)cc(N2CCNCC2)n1)\c1ccccc1,16041424
ENMD-2076__A549__100nM__24h,ENMD-2076,ENMD-2076,A549,100.0,24.0,252,CC1=CC(=NN1)NC2=CC(=NC(=N2)/C=C/C3=CC=CC=C3)N4CCN(CC4)C,C(=C/c1nc(Nc2cc[nH]n2)cc(N2CCNCC2)n1)\c1ccccc1,16041424
ENMD-2076__A549__1000nM__24h,ENMD-2076,ENMD-2076,A549,1000.0,24.0,170,CC1=CC(=NN1)NC2=CC(=NC(=N2)/C=C/C3=CC=CC=C3)N4CCN(CC4)C,C(=C/c1nc(Nc2cc[nH]n2)cc(N2CCNCC2)n1)\c1ccccc1,16041424
ENMD-2076__A549__10000nM__24h,ENMD-2076,ENMD-2076,A549,10000.0,24.0,140,CC1=CC(=NN1)NC2=CC(=NC(=N2)/C=C/C3=CC=CC=C3)N4CCN(CC4)C,C(=C/c1nc(Nc2cc[nH]n2)cc(N2CCNCC2)n1)\c1ccccc1,16041424
ENMD-2076__K562__10nM__24h,ENMD-2076,ENMD-2076,K562,10.0,24.0,294,CC1=CC(=NN1)NC2=CC(=NC(=N2)/C=C/C3=CC=CC=C3)N4CCN(CC4)C,C(=C/c1nc(Nc2cc[nH]n2)cc(N2CCNCC2)n1)\c1ccccc1,16041424
ENMD-2076__K562__100nM__24h,ENMD-2076,ENMD-2076,K562,100.0,24.0,218,CC1=CC(=NN1)NC2=CC(=NC(=N2)/C=C/C3=CC=CC=C3)N4CCN(CC4)C,C(=C/c1nc(Nc2cc[nH]n2)cc(N2CCNCC2)n1)\c1ccccc1,16041424
ENMD-2076__K562__1000nM__24h,ENMD-2076,ENMD-2076,K562,1000.0,24.0,195,CC1=CC(=NN1)NC2=CC(=NC(=N2)/C=C/C3=CC=CC=C3)N4CCN(CC4)C,C(=C/c1nc(Nc2cc[nH]n2)cc(N2CCNCC2)n1)\c1ccccc1,16041424
ENMD-2076__K562__10000nM__24h,ENMD-2076,ENMD-2076,K562,10000.0,24.0,169,CC1=CC(=NN1)NC2=CC(=NC(=N2)/C=C/C3=CC=CC=C3)N4CCN(CC4)C,C(=C/c1nc(Nc2cc[nH]n2)cc(N2CCNCC2)n1)\c1ccccc1,16041424
ENMD-2076__MCF7__10nM__24h,ENMD-2076,ENMD-2076,MCF7,10.0,24.0,565,CC1=CC(=NN1)NC2=CC(=NC(=N2)/C=C/C3=CC=CC=C3)N4CCN(CC4)C,C(=C/c1nc(Nc2cc[nH]n2)cc(N2CCNCC2)n1)\c1ccccc1,16041424
ENMD-2076__MCF7__100nM__24h,ENMD-2076,ENMD-2076,MCF7,100.0,24.0,545,CC1=CC(=NN1)NC2=CC(=NC(=N2)/C=C/C3=CC=CC=C3)N4CCN(CC4)C,C(=C/c1nc(Nc2cc[nH]n2)cc(N2CCNCC2)n1)\c1ccccc1,16041424
ENMD-2076__MCF7__1000nM__24h,ENMD-2076,ENMD-2076,MCF7,1000.0,24.0,409,CC1=CC(=NN1)NC2=CC(=NC(=N2)/C=C/C3=CC=CC=C3)N4CCN(CC4)C,C(=C/c1nc(Nc2cc[nH]n2)cc(N2CCNCC2)n1)\c1ccccc1,16041424
ENMD-2076__MCF7__10000nM__24h,ENMD-2076,ENMD-2076,MCF7,10000.0,24.0,270,CC1=CC(=NN1)NC2=CC(=NC(=N2)/C=C/C3=CC=CC=C3)N4CCN(CC4)C,C(=C/c1nc(Nc2cc[nH]n2)cc(N2CCNCC2)n1)\c1ccccc1,16041424
ENMD-2076 L-(+)-Tartaric acid __A549__10nM__24h,ENMD-2076 L-(+)-Tartaric acid ,ENMD-2076 L-(+)-Tartaric acid ,A549,10.0,24.0,205,CC1=CC(=NN1)NC2=CC(=NC(=N2)/C=C/C3=CC=CC=C3)N4CCN(CC4)C.[C@H]([C@@H](C(=O)O)O)(C(=O)O)O,C(=C/c1nc(Nc2cc[nH]n2)cc(N2CCNCC2)n1)\c1ccccc1,66576993
ENMD-2076 L-(+)-Tartaric acid __A549__100nM__24h,ENMD-2076 L-(+)-Tartaric acid ,ENMD-2076 L-(+)-Tartaric acid ,A549,100.0,24.0,266,CC1=CC(=NN1)NC2=CC(=NC(=N2)/C=C/C3=CC=CC=C3)N4CCN(CC4)C.[C@H]([C@@H](C(=O)O)O)(C(=O)O)O,C(=C/c1nc(Nc2cc[nH]n2)cc(N2CCNCC2)n1)\c1ccccc1,66576993
ENMD-2076 L-(+)-Tartaric acid __A549__1000nM__24h,ENMD-2076 L-(+)-Tartaric acid ,ENMD-2076 L-(+)-Tartaric acid ,A549,1000.0,24.0,171,CC1=CC(=NN1)NC2=CC(=NC(=N2)/C=C/C3=CC=CC=C3)N4CCN(CC4)C.[C@H]([C@@H](C(=O)O)O)(C(=O)O)O,C(=C/c1nc(Nc2cc[nH]n2)cc(N2CCNCC2)n1)\c1ccccc1,66576993
ENMD-2076 L-(+)-Tartaric acid __A549__10000nM__24h,ENMD-2076 L-(+)-Tartaric acid ,ENMD-2076 L-(+)-Tartaric acid ,A549,10000.0,24.0,128,CC1=CC(=NN1)NC2=CC(=NC(=N2)/C=C/C3=CC=CC=C3)N4CCN(CC4)C.[C@H]([C@@H](C(=O)O)O)(C(=O)O)O,C(=C/c1nc(Nc2cc[nH]n2)cc(N2CCNCC2)n1)\c1ccccc1,66576993
ENMD-2076 L-(+)-Tartaric acid __K562__10nM__24h,ENMD-2076 L-(+)-Tartaric acid ,ENMD-2076 L-(+)-Tartaric acid ,K562,10.0,24.0,221,CC1=CC(=NN1)NC2=CC(=NC(=N2)/C=C/C3=CC=CC=C3)N4CCN(CC4)C.[C@H]([C@@H](C(=O)O)O)(C(=O)O)O,C(=C/c1nc(Nc2cc[nH]n2)cc(N2CCNCC2)n1)\c1ccccc1,66576993
ENMD-2076 L-(+)-Tartaric acid __K562__100nM__24h,ENMD-2076 L-(+)-Tartaric acid ,ENMD-2076 L-(+)-Tartaric acid ,K562,100.0,24.0,233,CC1=CC(=NN1)NC2=CC(=NC(=N2)/C=C/C3=CC=CC=C3)N4CCN(CC4)C.[C@H]([C@@H](C(=O)O)O)(C(=O)O)O,C(=C/c1nc(Nc2cc[nH]n2)cc(N2CCNCC2)n1)\c1ccccc1,66576993
ENMD-2076 L-(+)-Tartaric acid __K562__1000nM__24h,ENMD-2076 L-(+)-Tartaric acid ,ENMD-2076 L-(+)-Tartaric acid ,K562,1000.0,24.0,169,CC1=CC(=NN1)NC2=CC(=NC(=N2)/C=C/C3=CC=CC=C3)N4CCN(CC4)C.[C@H]([C@@H](C(=O)O)O)(C(=O)O)O,C(=C/c1nc(Nc2cc[nH]n2)cc(N2CCNCC2)n1)\c1ccccc1,66576993
ENMD-2076 L-(+)-Tartaric acid __K562__10000nM__24h,ENMD-2076 L-(+)-Tartaric acid ,ENMD-2076 L-(+)-Tartaric acid ,K562,10000.0,24.0,172,CC1=CC(=NN1)NC2=CC(=NC(=N2)/C=C/C3=CC=CC=C3)N4CCN(CC4)C.[C@H]([C@@H](C(=O)O)O)(C(=O)O)O,C(=C/c1nc(Nc2cc[nH]n2)cc(N2CCNCC2)n1)\c1ccccc1,66576993
ENMD-2076 L-(+)-Tartaric acid __MCF7__10nM__24h,ENMD-2076 L-(+)-Tartaric acid ,ENMD-2076 L-(+)-Tartaric acid ,MCF7,10.0,24.0,535,CC1=CC(=NN1)NC2=CC(=NC(=N2)/C=C/C3=CC=CC=C3)N4CCN(CC4)C.[C@H]([C@@H](C(=O)O)O)(C(=O)O)O,C(=C/c1nc(Nc2cc[nH]n2)cc(N2CCNCC2)n1)\c1ccccc1,66576993
ENMD-2076 L-(+)-Tartaric acid __MCF7__100nM__24h,ENMD-2076 L-(+)-Tartaric acid ,ENMD-2076 L-(+)-Tartaric acid ,MCF7,100.0,24.0,535,CC1=CC(=NN1)NC2=CC(=NC(=N2)/C=C/C3=CC=CC=C3)N4CCN(CC4)C.[C@H]([C@@H](C(=O)O)O)(C(=O)O)O,C(=C/c1nc(Nc2cc[nH]n2)cc(N2CCNCC2)n1)\c1ccccc1,66576993
ENMD-2076 L-(+)-Tartaric acid __MCF7__1000nM__24h,ENMD-2076 L-(+)-Tartaric acid ,ENMD-2076 L-(+)-Tartaric acid ,MCF7,1000.0,24.0,433,CC1=CC(=NN1)NC2=CC(=NC(=N2)/C=C/C3=CC=CC=C3)N4CCN(CC4)C.[C@H]([C@@H](C(=O)O)O)(C(=O)O)O,C(=C/c1nc(Nc2cc[nH]n2)cc(N2CCNCC2)n1)\c1ccccc1,66576993
ENMD-2076 L-(+)-Tartaric acid __MCF7__10000nM__24h,ENMD-2076 L-(+)-Tartaric acid ,ENMD-2076 L-(+)-Tartaric acid ,MCF7,10000.0,24.0,228,CC1=CC(=NN1)NC2=CC(=NC(=N2)/C=C/C3=CC=CC=C3)N4CCN(CC4)C.[C@H]([C@@H](C(=O)O)O)(C(=O)O)O,C(=C/c1nc(Nc2cc[nH]n2)cc(N2CCNCC2)n1)\c1ccccc1,66576993
Ellagic acid__A549__10nM__24h,Ellagic acid,Ellagic acid,A549,10.0,24.0,201,C1=C2C3=C(C(=C1O)O)OC(=O)C4=CC(=C(C(=C43)OC2=O)O)O,O=c1oc2cccc3c(=O)oc4cccc1c4c23,5281855
Ellagic acid__A549__100nM__24h,Ellagic acid,Ellagic acid,A549,100.0,24.0,178,C1=C2C3=C(C(=C1O)O)OC(=O)C4=CC(=C(C(=C43)OC2=O)O)O,O=c1oc2cccc3c(=O)oc4cccc1c4c23,5281855
Ellagic acid__A549__1000nM__24h,Ellagic acid,Ellagic acid,A549,1000.0,24.0,246,C1=C2C3=C(C(=C1O)O)OC(=O)C4=CC(=C(C(=C43)OC2=O)O)O,O=c1oc2cccc3c(=O)oc4cccc1c4c23,5281855
Ellagic acid__A549__10000nM__24h,Ellagic acid,Ellagic acid,A549,10000.0,24.0,194,C1=C2C3=C(C(=C1O)O)OC(=O)C4=CC(=C(C(=C43)OC2=O)O)O,O=c1oc2cccc3c(=O)oc4cccc1c4c23,5281855
Ellagic acid__K562__10nM__24h,Ellagic acid,Ellagic acid,K562,10.0,24.0,208,C1=C2C3=C(C(=C1O)O)OC(=O)C4=CC(=C(C(=C43)OC2=O)O)O,O=c1oc2cccc3c(=O)oc4cccc1c4c23,5281855
Ellagic acid__K562__100nM__24h,Ellagic acid,Ellagic acid,K562,100.0,24.0,233,C1=C2C3=C(C(=C1O)O)OC(=O)C4=CC(=C(C(=C43)OC2=O)O)O,O=c1oc2cccc3c(=O)oc4cccc1c4c23,5281855
Ellagic acid__K562__1000nM__24h,Ellagic acid,Ellagic acid,K562,1000.0,24.0,208,C1=C2C3=C(C(=C1O)O)OC(=O)C4=CC(=C(C(=C43)OC2=O)O)O,O=c1oc2cccc3c(=O)oc4cccc1c4c23,5281855
Ellagic acid__K562__10000nM__24h,Ellagic acid,Ellagic acid,K562,10000.0,24.0,277,C1=C2C3=C(C(=C1O)O)OC(=O)C4=CC(=C(C(=C43)OC2=O)O)O,O=c1oc2cccc3c(=O)oc4cccc1c4c23,5281855
Ellagic acid__MCF7__10nM__24h,Ellagic acid,Ellagic acid,MCF7,10.0,24.0,517,C1=C2C3=C(C(=C1O)O)OC(=O)C4=CC(=C(C(=C43)OC2=O)O)O,O=c1oc2cccc3c(=O)oc4cccc1c4c23,5281855
Ellagic acid__MCF7__100nM__24h,Ellagic acid,Ellagic acid,MCF7,100.0,24.0,477,C1=C2C3=C(C(=C1O)O)OC(=O)C4=CC(=C(C(=C43)OC2=O)O)O,O=c1oc2cccc3c(=O)oc4cccc1c4c23,5281855
Ellagic acid__MCF7__1000nM__24h,Ellagic acid,Ellagic acid,MCF7,1000.0,24.0,584,C1=C2C3=C(C(=C1O)O)OC(=O)C4=CC(=C(C(=C43)OC2=O)O)O,O=c1oc2cccc3c(=O)oc4cccc1c4c23,5281855
Ellagic acid__MCF7__10000nM__24h,Ellagic acid,Ellagic acid,MCF7,10000.0,24.0,559,C1=C2C3=C(C(=C1O)O)OC(=O)C4=CC(=C(C(=C43)OC2=O)O)O,O=c1oc2cccc3c(=O)oc4cccc1c4c23,5281855
Entacapone__A549__10nM__24h,Entacapone,Entacapone,A549,10.0,24.0,247,CCN(CC)C(=O)/C(=C/C1=CC(=C(C(=C1)O)O)[N+](=O)[O-])/C#N,c1ccccc1,5281081
Entacapone__A549__100nM__24h,Entacapone,Entacapone,A549,100.0,24.0,233,CCN(CC)C(=O)/C(=C/C1=CC(=C(C(=C1)O)O)[N+](=O)[O-])/C#N,c1ccccc1,5281081
Entacapone__A549__1000nM__24h,Entacapone,Entacapone,A549,1000.0,24.0,243,CCN(CC)C(=O)/C(=C/C1=CC(=C(C(=C1)O)O)[N+](=O)[O-])/C#N,c1ccccc1,5281081
Entacapone__A549__10000nM__24h,Entacapone,Entacapone,A549,10000.0,24.0,254,CCN(CC)C(=O)/C(=C/C1=CC(=C(C(=C1)O)O)[N+](=O)[O-])/C#N,c1ccccc1,5281081
Entacapone__K562__10nM__24h,Entacapone,Entacapone,K562,10.0,24.0,261,CCN(CC)C(=O)/C(=C/C1=CC(=C(C(=C1)O)O)[N+](=O)[O-])/C#N,c1ccccc1,5281081
Entacapone__K562__100nM__24h,Entacapone,Entacapone,K562,100.0,24.0,230,CCN(CC)C(=O)/C(=C/C1=CC(=C(C(=C1)O)O)[N+](=O)[O-])/C#N,c1ccccc1,5281081
Entacapone__K562__1000nM__24h,Entacapone,Entacapone,K562,1000.0,24.0,235,CCN(CC)C(=O)/C(=C/C1=CC(=C(C(=C1)O)O)[N+](=O)[O-])/C#N,c1ccccc1,5281081
Entacapone__K562__10000nM__24h,Entacapone,Entacapone,K562,10000.0,24.0,248,CCN(CC)C(=O)/C(=C/C1=CC(=C(C(=C1)O)O)[N+](=O)[O-])/C#N,c1ccccc1,5281081
Entacapone__MCF7__10nM__24h,Entacapone,Entacapone,MCF7,10.0,24.0,587,CCN(CC)C(=O)/C(=C/C1=CC(=C(C(=C1)O)O)[N+](=O)[O-])/C#N,c1ccccc1,5281081
Entacapone__MCF7__100nM__24h,Entacapone,Entacapone,MCF7,100.0,24.0,550,CCN(CC)C(=O)/C(=C/C1=CC(=C(C(=C1)O)O)[N+](=O)[O-])/C#N,c1ccccc1,5281081
Entacapone__MCF7__1000nM__24h,Entacapone,Entacapone,MCF7,1000.0,24.0,556,CCN(CC)C(=O)/C(=C/C1=CC(=C(C(=C1)O)O)[N+](=O)[O-])/C#N,c1ccccc1,5281081
Entacapone__MCF7__10000nM__24h,Entacapone,Entacapone,MCF7,10000.0,24.0,524,CCN(CC)C(=O)/C(=C/C1=CC(=C(C(=C1)O)O)[N+](=O)[O-])/C#N,c1ccccc1,5281081
Entinostat (MS-275)__A549__10nM__24h,Entinostat (MS-275),Entinostat (MS-275),A549,10.0,24.0,293,C1=CC=C(C(=C1)N)NC(=O)C2=CC=C(C=C2)CNC(=O)OCC3=CN=CC=C3,O=C(NCc1ccc(C(=O)Nc2ccccc2)cc1)OCc1cccnc1,4261
Entinostat (MS-275)__A549__100nM__24h,Entinostat (MS-275),Entinostat (MS-275),A549,100.0,24.0,247,C1=CC=C(C(=C1)N)NC(=O)C2=CC=C(C=C2)CNC(=O)OCC3=CN=CC=C3,O=C(NCc1ccc(C(=O)Nc2ccccc2)cc1)OCc1cccnc1,4261
Entinostat (MS-275)__A549__1000nM__24h,Entinostat (MS-275),Entinostat (MS-275),A549,1000.0,24.0,265,C1=CC=C(C(=C1)N)NC(=O)C2=CC=C(C=C2)CNC(=O)OCC3=CN=CC=C3,O=C(NCc1ccc(C(=O)Nc2ccccc2)cc1)OCc1cccnc1,4261
Entinostat (MS-275)__A549__10000nM__24h,Entinostat (MS-275),Entinostat (MS-275),A549,10000.0,24.0,213,C1=CC=C(C(=C1)N)NC(=O)C2=CC=C(C=C2)CNC(=O)OCC3=CN=CC=C3,O=C(NCc1ccc(C(=O)Nc2ccccc2)cc1)OCc1cccnc1,4261
Entinostat (MS-275)__K562__10nM__24h,Entinostat (MS-275),Entinostat (MS-275),K562,10.0,24.0,269,C1=CC=C(C(=C1)N)NC(=O)C2=CC=C(C=C2)CNC(=O)OCC3=CN=CC=C3,O=C(NCc1ccc(C(=O)Nc2ccccc2)cc1)OCc1cccnc1,4261
Entinostat (MS-275)__K562__100nM__24h,Entinostat (MS-275),Entinostat (MS-275),K562,100.0,24.0,270,C1=CC=C(C(=C1)N)NC(=O)C2=CC=C(C=C2)CNC(=O)OCC3=CN=CC=C3,O=C(NCc1ccc(C(=O)Nc2ccccc2)cc1)OCc1cccnc1,4261
Entinostat (MS-275)__K562__1000nM__24h,Entinostat (MS-275),Entinostat (MS-275),K562,1000.0,24.0,241,C1=CC=C(C(=C1)N)NC(=O)C2=CC=C(C=C2)CNC(=O)OCC3=CN=CC=C3,O=C(NCc1ccc(C(=O)Nc2ccccc2)cc1)OCc1cccnc1,4261
