sample_id,drug_id,drug_name,cell_context,dose_value,time,n_cells,smiles,scaffold,pubchem_cid,split_random,split_cell_heldout,split_scaffold_heldout,split_cell_scaffold_heldout
2-Methoxyestradiol (2-MeOE2)__MCF7__10000nM__24h,2-Methoxyestradiol (2-MeOE2),2-Methoxyestradiol (2-MeOE2),MCF7,10000.0,24.0,322,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2O)CCC4=CC(=C(C=C34)OC)O,c1ccc2c(c1)CC[C@@H]1[C@@H]2CCC2CCC[C@H]21,66414,train,test,train,excluded
(+)-JQ1__A549__10nM__24h,(+)-JQ1,(+)-JQ1,A549,10.0,24.0,174,CC1=C(SC2=C1C(=N[C@H](C3=NN=C(N32)C)CC(=O)OC(C)(C)C)C4=CC=C(C=C4)Cl)C,c1ccc(C2=NCc3nncn3-c3sccc32)cc1,46907787,train,train,test,excluded
(+)-JQ1__A549__100nM__24h,(+)-JQ1,(+)-JQ1,A549,100.0,24.0,183,CC1=C(SC2=C1C(=N[C@H](C3=NN=C(N32)C)CC(=O)OC(C)(C)C)C4=CC=C(C=C4)Cl)C,c1ccc(C2=NCc3nncn3-c3sccc32)cc1,46907787,train,train,test,excluded
(+)-JQ1__A549__1000nM__24h,(+)-JQ1,(+)-JQ1,A549,1000.0,24.0,218,CC1=C(SC2=C1C(=N[C@H](C3=NN=C(N32)C)CC(=O)OC(C)(C)C)C4=CC=C(C=C4)Cl)C,c1ccc(C2=NCc3nncn3-c3sccc32)cc1,46907787,train,train,test,excluded
(+)-JQ1__A549__10000nM__24h,(+)-JQ1,(+)-JQ1,A549,10000.0,24.0,223,CC1=C(SC2=C1C(=N[C@H](C3=NN=C(N32)C)CC(=O)OC(C)(C)C)C4=CC=C(C=C4)Cl)C,c1ccc(C2=NCc3nncn3-c3sccc32)cc1,46907787,train,train,test,excluded
(+)-JQ1__K562__10nM__24h,(+)-JQ1,(+)-JQ1,K562,10.0,24.0,227,CC1=C(SC2=C1C(=N[C@H](C3=NN=C(N32)C)CC(=O)OC(C)(C)C)C4=CC=C(C=C4)Cl)C,c1ccc(C2=NCc3nncn3-c3sccc32)cc1,46907787,train,train,test,excluded
(+)-JQ1__K562__100nM__24h,(+)-JQ1,(+)-JQ1,K562,100.0,24.0,204,CC1=C(SC2=C1C(=N[C@H](C3=NN=C(N32)C)CC(=O)OC(C)(C)C)C4=CC=C(C=C4)Cl)C,c1ccc(C2=NCc3nncn3-c3sccc32)cc1,46907787,train,train,test,excluded
(+)-JQ1__K562__1000nM__24h,(+)-JQ1,(+)-JQ1,K562,1000.0,24.0,161,CC1=C(SC2=C1C(=N[C@H](C3=NN=C(N32)C)CC(=O)OC(C)(C)C)C4=CC=C(C=C4)Cl)C,c1ccc(C2=NCc3nncn3-c3sccc32)cc1,46907787,train,train,test,excluded
(+)-JQ1__K562__10000nM__24h,(+)-JQ1,(+)-JQ1,K562,10000.0,24.0,144,CC1=C(SC2=C1C(=N[C@H](C3=NN=C(N32)C)CC(=O)OC(C)(C)C)C4=CC=C(C=C4)Cl)C,c1ccc(C2=NCc3nncn3-c3sccc32)cc1,46907787,train,train,test,excluded
(+)-JQ1__MCF7__10nM__24h,(+)-JQ1,(+)-JQ1,MCF7,10.0,24.0,508,CC1=C(SC2=C1C(=N[C@H](C3=NN=C(N32)C)CC(=O)OC(C)(C)C)C4=CC=C(C=C4)Cl)C,c1ccc(C2=NCc3nncn3-c3sccc32)cc1,46907787,train,test,test,test
(+)-JQ1__MCF7__100nM__24h,(+)-JQ1,(+)-JQ1,MCF7,100.0,24.0,435,CC1=C(SC2=C1C(=N[C@H](C3=NN=C(N32)C)CC(=O)OC(C)(C)C)C4=CC=C(C=C4)Cl)C,c1ccc(C2=NCc3nncn3-c3sccc32)cc1,46907787,train,test,test,test
(+)-JQ1__MCF7__1000nM__24h,(+)-JQ1,(+)-JQ1,MCF7,1000.0,24.0,585,CC1=C(SC2=C1C(=N[C@H](C3=NN=C(N32)C)CC(=O)OC(C)(C)C)C4=CC=C(C=C4)Cl)C,c1ccc(C2=NCc3nncn3-c3sccc32)cc1,46907787,test,test,test,test
(+)-JQ1__MCF7__10000nM__24h,(+)-JQ1,(+)-JQ1,MCF7,10000.0,24.0,525,CC1=C(SC2=C1C(=N[C@H](C3=NN=C(N32)C)CC(=O)OC(C)(C)C)C4=CC=C(C=C4)Cl)C,c1ccc(C2=NCc3nncn3-c3sccc32)cc1,46907787,train,test,test,test
A-366__A549__10nM__24h,A-366,A-366,A549,10.0,24.0,266,COC1=C(C=C2C(=C1)C3(CCC3)C(=N2)N)OCCCN4CCCC4,C1=Nc2cc(OCCCN3CCCC3)ccc2C12CCC2,76285486,test,train,train,train
A-366__A549__100nM__24h,A-366,A-366,A549,100.0,24.0,241,COC1=C(C=C2C(=C1)C3(CCC3)C(=N2)N)OCCCN4CCCC4,C1=Nc2cc(OCCCN3CCCC3)ccc2C12CCC2,76285486,test,train,train,train
A-366__A549__1000nM__24h,A-366,A-366,A549,1000.0,24.0,194,COC1=C(C=C2C(=C1)C3(CCC3)C(=N2)N)OCCCN4CCCC4,C1=Nc2cc(OCCCN3CCCC3)ccc2C12CCC2,76285486,train,train,train,train
A-366__A549__10000nM__24h,A-366,A-366,A549,10000.0,24.0,281,COC1=C(C=C2C(=C1)C3(CCC3)C(=N2)N)OCCCN4CCCC4,C1=Nc2cc(OCCCN3CCCC3)ccc2C12CCC2,76285486,train,train,train,train
A-366__K562__10nM__24h,A-366,A-366,K562,10.0,24.0,295,COC1=C(C=C2C(=C1)C3(CCC3)C(=N2)N)OCCCN4CCCC4,C1=Nc2cc(OCCCN3CCCC3)ccc2C12CCC2,76285486,train,train,train,train
A-366__K562__100nM__24h,A-366,A-366,K562,100.0,24.0,233,COC1=C(C=C2C(=C1)C3(CCC3)C(=N2)N)OCCCN4CCCC4,C1=Nc2cc(OCCCN3CCCC3)ccc2C12CCC2,76285486,train,train,train,train
A-366__K562__1000nM__24h,A-366,A-366,K562,1000.0,24.0,269,COC1=C(C=C2C(=C1)C3(CCC3)C(=N2)N)OCCCN4CCCC4,C1=Nc2cc(OCCCN3CCCC3)ccc2C12CCC2,76285486,train,train,train,train
A-366__K562__10000nM__24h,A-366,A-366,K562,10000.0,24.0,260,COC1=C(C=C2C(=C1)C3(CCC3)C(=N2)N)OCCCN4CCCC4,C1=Nc2cc(OCCCN3CCCC3)ccc2C12CCC2,76285486,train,train,train,train
A-366__MCF7__10nM__24h,A-366,A-366,MCF7,10.0,24.0,527,COC1=C(C=C2C(=C1)C3(CCC3)C(=N2)N)OCCCN4CCCC4,C1=Nc2cc(OCCCN3CCCC3)ccc2C12CCC2,76285486,train,test,train,excluded
A-366__MCF7__100nM__24h,A-366,A-366,MCF7,100.0,24.0,425,COC1=C(C=C2C(=C1)C3(CCC3)C(=N2)N)OCCCN4CCCC4,C1=Nc2cc(OCCCN3CCCC3)ccc2C12CCC2,76285486,test,test,train,excluded
A-366__MCF7__1000nM__24h,A-366,A-366,MCF7,1000.0,24.0,420,COC1=C(C=C2C(=C1)C3(CCC3)C(=N2)N)OCCCN4CCCC4,C1=Nc2cc(OCCCN3CCCC3)ccc2C12CCC2,76285486,test,test,train,excluded
A-366__MCF7__10000nM__24h,A-366,A-366,MCF7,10000.0,24.0,453,COC1=C(C=C2C(=C1)C3(CCC3)C(=N2)N)OCCCN4CCCC4,C1=Nc2cc(OCCCN3CCCC3)ccc2C12CCC2,76285486,train,test,train,excluded
ABT-737__A549__10nM__24h,ABT-737,ABT-737,A549,10.0,24.0,205,CN(C)CC[C@H](CSC1=CC=CC=C1)NC2=C(C=C(C=C2)S(=O)(=O)NC(=O)C3=CC=C(C=C3)N4CCN(CC4)CC5=CC=CC=C5C6=CC=C(C=C6)Cl)[N+](=O)[O-],O=C(NS(=O)(=O)c1ccc(NCCSc2ccccc2)cc1)c1ccc(N2CCN(Cc3ccccc3-c3ccccc3)CC2)cc1,11228183,train,train,test,excluded
ABT-737__A549__100nM__24h,ABT-737,ABT-737,A549,100.0,24.0,230,CN(C)CC[C@H](CSC1=CC=CC=C1)NC2=C(C=C(C=C2)S(=O)(=O)NC(=O)C3=CC=C(C=C3)N4CCN(CC4)CC5=CC=CC=C5C6=CC=C(C=C6)Cl)[N+](=O)[O-],O=C(NS(=O)(=O)c1ccc(NCCSc2ccccc2)cc1)c1ccc(N2CCN(Cc3ccccc3-c3ccccc3)CC2)cc1,11228183,train,train,test,excluded
ABT-737__A549__1000nM__24h,ABT-737,ABT-737,A549,1000.0,24.0,201,CN(C)CC[C@H](CSC1=CC=CC=C1)NC2=C(C=C(C=C2)S(=O)(=O)NC(=O)C3=CC=C(C=C3)N4CCN(CC4)CC5=CC=CC=C5C6=CC=C(C=C6)Cl)[N+](=O)[O-],O=C(NS(=O)(=O)c1ccc(NCCSc2ccccc2)cc1)c1ccc(N2CCN(Cc3ccccc3-c3ccccc3)CC2)cc1,11228183,test,train,test,excluded
ABT-737__A549__10000nM__24h,ABT-737,ABT-737,A549,10000.0,24.0,159,CN(C)CC[C@H](CSC1=CC=CC=C1)NC2=C(C=C(C=C2)S(=O)(=O)NC(=O)C3=CC=C(C=C3)N4CCN(CC4)CC5=CC=CC=C5C6=CC=C(C=C6)Cl)[N+](=O)[O-],O=C(NS(=O)(=O)c1ccc(NCCSc2ccccc2)cc1)c1ccc(N2CCN(Cc3ccccc3-c3ccccc3)CC2)cc1,11228183,train,train,test,excluded
ABT-737__K562__10nM__24h,ABT-737,ABT-737,K562,10.0,24.0,244,CN(C)CC[C@H](CSC1=CC=CC=C1)NC2=C(C=C(C=C2)S(=O)(=O)NC(=O)C3=CC=C(C=C3)N4CCN(CC4)CC5=CC=CC=C5C6=CC=C(C=C6)Cl)[N+](=O)[O-],O=C(NS(=O)(=O)c1ccc(NCCSc2ccccc2)cc1)c1ccc(N2CCN(Cc3ccccc3-c3ccccc3)CC2)cc1,11228183,test,train,test,excluded
ABT-737__K562__100nM__24h,ABT-737,ABT-737,K562,100.0,24.0,260,CN(C)CC[C@H](CSC1=CC=CC=C1)NC2=C(C=C(C=C2)S(=O)(=O)NC(=O)C3=CC=C(C=C3)N4CCN(CC4)CC5=CC=CC=C5C6=CC=C(C=C6)Cl)[N+](=O)[O-],O=C(NS(=O)(=O)c1ccc(NCCSc2ccccc2)cc1)c1ccc(N2CCN(Cc3ccccc3-c3ccccc3)CC2)cc1,11228183,train,train,test,excluded
ABT-737__K562__1000nM__24h,ABT-737,ABT-737,K562,1000.0,24.0,204,CN(C)CC[C@H](CSC1=CC=CC=C1)NC2=C(C=C(C=C2)S(=O)(=O)NC(=O)C3=CC=C(C=C3)N4CCN(CC4)CC5=CC=CC=C5C6=CC=C(C=C6)Cl)[N+](=O)[O-],O=C(NS(=O)(=O)c1ccc(NCCSc2ccccc2)cc1)c1ccc(N2CCN(Cc3ccccc3-c3ccccc3)CC2)cc1,11228183,train,train,test,excluded
ABT-737__K562__10000nM__24h,ABT-737,ABT-737,K562,10000.0,24.0,207,CN(C)CC[C@H](CSC1=CC=CC=C1)NC2=C(C=C(C=C2)S(=O)(=O)NC(=O)C3=CC=C(C=C3)N4CCN(CC4)CC5=CC=CC=C5C6=CC=C(C=C6)Cl)[N+](=O)[O-],O=C(NS(=O)(=O)c1ccc(NCCSc2ccccc2)cc1)c1ccc(N2CCN(Cc3ccccc3-c3ccccc3)CC2)cc1,11228183,train,train,test,excluded
ABT-737__MCF7__10nM__24h,ABT-737,ABT-737,MCF7,10.0,24.0,423,CN(C)CC[C@H](CSC1=CC=CC=C1)NC2=C(C=C(C=C2)S(=O)(=O)NC(=O)C3=CC=C(C=C3)N4CCN(CC4)CC5=CC=CC=C5C6=CC=C(C=C6)Cl)[N+](=O)[O-],O=C(NS(=O)(=O)c1ccc(NCCSc2ccccc2)cc1)c1ccc(N2CCN(Cc3ccccc3-c3ccccc3)CC2)cc1,11228183,train,test,test,test
ABT-737__MCF7__100nM__24h,ABT-737,ABT-737,MCF7,100.0,24.0,312,CN(C)CC[C@H](CSC1=CC=CC=C1)NC2=C(C=C(C=C2)S(=O)(=O)NC(=O)C3=CC=C(C=C3)N4CCN(CC4)CC5=CC=CC=C5C6=CC=C(C=C6)Cl)[N+](=O)[O-],O=C(NS(=O)(=O)c1ccc(NCCSc2ccccc2)cc1)c1ccc(N2CCN(Cc3ccccc3-c3ccccc3)CC2)cc1,11228183,train,test,test,test
ABT-737__MCF7__1000nM__24h,ABT-737,ABT-737,MCF7,1000.0,24.0,295,CN(C)CC[C@H](CSC1=CC=CC=C1)NC2=C(C=C(C=C2)S(=O)(=O)NC(=O)C3=CC=C(C=C3)N4CCN(CC4)CC5=CC=CC=C5C6=CC=C(C=C6)Cl)[N+](=O)[O-],O=C(NS(=O)(=O)c1ccc(NCCSc2ccccc2)cc1)c1ccc(N2CCN(Cc3ccccc3-c3ccccc3)CC2)cc1,11228183,train,test,test,test
ABT-737__MCF7__10000nM__24h,ABT-737,ABT-737,MCF7,10000.0,24.0,379,CN(C)CC[C@H](CSC1=CC=CC=C1)NC2=C(C=C(C=C2)S(=O)(=O)NC(=O)C3=CC=C(C=C3)N4CCN(CC4)CC5=CC=CC=C5C6=CC=C(C=C6)Cl)[N+](=O)[O-],O=C(NS(=O)(=O)c1ccc(NCCSc2ccccc2)cc1)c1ccc(N2CCN(Cc3ccccc3-c3ccccc3)CC2)cc1,11228183,test,test,test,test
AC480 (BMS-599626)__A549__10nM__24h,AC480 (BMS-599626),AC480 (BMS-599626),A549,10.0,24.0,233,CC1=C2C(=NC=NN2C=C1NC(=O)OC[C@@H]3COCCN3)NC4=CC5=C(C=C4)N(N=C5)CC6=CC(=CC=C6)F,O=C(Nc1cc2c(Nc3ccc4c(cnn4Cc4ccccc4)c3)ncnn2c1)OC[C@@H]1COCCN1,10437018,train,train,train,train
AC480 (BMS-599626)__A549__100nM__24h,AC480 (BMS-599626),AC480 (BMS-599626),A549,100.0,24.0,193,CC1=C2C(=NC=NN2C=C1NC(=O)OC[C@@H]3COCCN3)NC4=CC5=C(C=C4)N(N=C5)CC6=CC(=CC=C6)F,O=C(Nc1cc2c(Nc3ccc4c(cnn4Cc4ccccc4)c3)ncnn2c1)OC[C@@H]1COCCN1,10437018,train,train,train,train
AC480 (BMS-599626)__A549__1000nM__24h,AC480 (BMS-599626),AC480 (BMS-599626),A549,1000.0,24.0,234,CC1=C2C(=NC=NN2C=C1NC(=O)OC[C@@H]3COCCN3)NC4=CC5=C(C=C4)N(N=C5)CC6=CC(=CC=C6)F,O=C(Nc1cc2c(Nc3ccc4c(cnn4Cc4ccccc4)c3)ncnn2c1)OC[C@@H]1COCCN1,10437018,train,train,train,train
AC480 (BMS-599626)__A549__10000nM__24h,AC480 (BMS-599626),AC480 (BMS-599626),A549,10000.0,24.0,237,CC1=C2C(=NC=NN2C=C1NC(=O)OC[C@@H]3COCCN3)NC4=CC5=C(C=C4)N(N=C5)CC6=CC(=CC=C6)F,O=C(Nc1cc2c(Nc3ccc4c(cnn4Cc4ccccc4)c3)ncnn2c1)OC[C@@H]1COCCN1,10437018,train,train,train,train
AC480 (BMS-599626)__K562__10nM__24h,AC480 (BMS-599626),AC480 (BMS-599626),K562,10.0,24.0,236,CC1=C2C(=NC=NN2C=C1NC(=O)OC[C@@H]3COCCN3)NC4=CC5=C(C=C4)N(N=C5)CC6=CC(=CC=C6)F,O=C(Nc1cc2c(Nc3ccc4c(cnn4Cc4ccccc4)c3)ncnn2c1)OC[C@@H]1COCCN1,10437018,train,train,train,train
AC480 (BMS-599626)__K562__100nM__24h,AC480 (BMS-599626),AC480 (BMS-599626),K562,100.0,24.0,241,CC1=C2C(=NC=NN2C=C1NC(=O)OC[C@@H]3COCCN3)NC4=CC5=C(C=C4)N(N=C5)CC6=CC(=CC=C6)F,O=C(Nc1cc2c(Nc3ccc4c(cnn4Cc4ccccc4)c3)ncnn2c1)OC[C@@H]1COCCN1,10437018,test,train,train,train
AC480 (BMS-599626)__K562__1000nM__24h,AC480 (BMS-599626),AC480 (BMS-599626),K562,1000.0,24.0,298,CC1=C2C(=NC=NN2C=C1NC(=O)OC[C@@H]3COCCN3)NC4=CC5=C(C=C4)N(N=C5)CC6=CC(=CC=C6)F,O=C(Nc1cc2c(Nc3ccc4c(cnn4Cc4ccccc4)c3)ncnn2c1)OC[C@@H]1COCCN1,10437018,train,train,train,train
AC480 (BMS-599626)__K562__10000nM__24h,AC480 (BMS-599626),AC480 (BMS-599626),K562,10000.0,24.0,188,CC1=C2C(=NC=NN2C=C1NC(=O)OC[C@@H]3COCCN3)NC4=CC5=C(C=C4)N(N=C5)CC6=CC(=CC=C6)F,O=C(Nc1cc2c(Nc3ccc4c(cnn4Cc4ccccc4)c3)ncnn2c1)OC[C@@H]1COCCN1,10437018,train,train,train,train
AC480 (BMS-599626)__MCF7__10nM__24h,AC480 (BMS-599626),AC480 (BMS-599626),MCF7,10.0,24.0,481,CC1=C2C(=NC=NN2C=C1NC(=O)OC[C@@H]3COCCN3)NC4=CC5=C(C=C4)N(N=C5)CC6=CC(=CC=C6)F,O=C(Nc1cc2c(Nc3ccc4c(cnn4Cc4ccccc4)c3)ncnn2c1)OC[C@@H]1COCCN1,10437018,test,test,train,excluded
AC480 (BMS-599626)__MCF7__100nM__24h,AC480 (BMS-599626),AC480 (BMS-599626),MCF7,100.0,24.0,574,CC1=C2C(=NC=NN2C=C1NC(=O)OC[C@@H]3COCCN3)NC4=CC5=C(C=C4)N(N=C5)CC6=CC(=CC=C6)F,O=C(Nc1cc2c(Nc3ccc4c(cnn4Cc4ccccc4)c3)ncnn2c1)OC[C@@H]1COCCN1,10437018,train,test,train,excluded
AC480 (BMS-599626)__MCF7__1000nM__24h,AC480 (BMS-599626),AC480 (BMS-599626),MCF7,1000.0,24.0,472,CC1=C2C(=NC=NN2C=C1NC(=O)OC[C@@H]3COCCN3)NC4=CC5=C(C=C4)N(N=C5)CC6=CC(=CC=C6)F,O=C(Nc1cc2c(Nc3ccc4c(cnn4Cc4ccccc4)c3)ncnn2c1)OC[C@@H]1COCCN1,10437018,train,test,train,excluded
AC480 (BMS-599626)__MCF7__10000nM__24h,AC480 (BMS-599626),AC480 (BMS-599626),MCF7,10000.0,24.0,371,CC1=C2C(=NC=NN2C=C1NC(=O)OC[C@@H]3COCCN3)NC4=CC5=C(C=C4)N(N=C5)CC6=CC(=CC=C6)F,O=C(Nc1cc2c(Nc3ccc4c(cnn4Cc4ccccc4)c3)ncnn2c1)OC[C@@H]1COCCN1,10437018,train,test,train,excluded
AG-490 (Tyrphostin B42)__A549__10nM__24h,AG-490 (Tyrphostin B42),AG-490 (Tyrphostin B42),A549,10.0,24.0,207,C1=CC=C(C=C1)CNC(=O)/C(=C/C2=CC(=C(C=C2)O)O)/C#N,O=C(/C=C/c1ccccc1)NCc1ccccc1,5328779,train,train,train,train
AG-490 (Tyrphostin B42)__A549__100nM__24h,AG-490 (Tyrphostin B42),AG-490 (Tyrphostin B42),A549,100.0,24.0,255,C1=CC=C(C=C1)CNC(=O)/C(=C/C2=CC(=C(C=C2)O)O)/C#N,O=C(/C=C/c1ccccc1)NCc1ccccc1,5328779,train,train,train,train
AG-490 (Tyrphostin B42)__A549__1000nM__24h,AG-490 (Tyrphostin B42),AG-490 (Tyrphostin B42),A549,1000.0,24.0,205,C1=CC=C(C=C1)CNC(=O)/C(=C/C2=CC(=C(C=C2)O)O)/C#N,O=C(/C=C/c1ccccc1)NCc1ccccc1,5328779,train,train,train,train
AG-490 (Tyrphostin B42)__A549__10000nM__24h,AG-490 (Tyrphostin B42),AG-490 (Tyrphostin B42),A549,10000.0,24.0,212,C1=CC=C(C=C1)CNC(=O)/C(=C/C2=CC(=C(C=C2)O)O)/C#N,O=C(/C=C/c1ccccc1)NCc1ccccc1,5328779,train,train,train,train
AG-490 (Tyrphostin B42)__K562__10nM__24h,AG-490 (Tyrphostin B42),AG-490 (Tyrphostin B42),K562,10.0,24.0,283,C1=CC=C(C=C1)CNC(=O)/C(=C/C2=CC(=C(C=C2)O)O)/C#N,O=C(/C=C/c1ccccc1)NCc1ccccc1,5328779,test,train,train,train
AG-490 (Tyrphostin B42)__K562__100nM__24h,AG-490 (Tyrphostin B42),AG-490 (Tyrphostin B42),K562,100.0,24.0,263,C1=CC=C(C=C1)CNC(=O)/C(=C/C2=CC(=C(C=C2)O)O)/C#N,O=C(/C=C/c1ccccc1)NCc1ccccc1,5328779,train,train,train,train
AG-490 (Tyrphostin B42)__K562__1000nM__24h,AG-490 (Tyrphostin B42),AG-490 (Tyrphostin B42),K562,1000.0,24.0,308,C1=CC=C(C=C1)CNC(=O)/C(=C/C2=CC(=C(C=C2)O)O)/C#N,O=C(/C=C/c1ccccc1)NCc1ccccc1,5328779,train,train,train,train
AG-490 (Tyrphostin B42)__K562__10000nM__24h,AG-490 (Tyrphostin B42),AG-490 (Tyrphostin B42),K562,10000.0,24.0,254,C1=CC=C(C=C1)CNC(=O)/C(=C/C2=CC(=C(C=C2)O)O)/C#N,O=C(/C=C/c1ccccc1)NCc1ccccc1,5328779,train,train,train,train
AG-490 (Tyrphostin B42)__MCF7__10nM__24h,AG-490 (Tyrphostin B42),AG-490 (Tyrphostin B42),MCF7,10.0,24.0,465,C1=CC=C(C=C1)CNC(=O)/C(=C/C2=CC(=C(C=C2)O)O)/C#N,O=C(/C=C/c1ccccc1)NCc1ccccc1,5328779,test,test,train,excluded
AG-490 (Tyrphostin B42)__MCF7__100nM__24h,AG-490 (Tyrphostin B42),AG-490 (Tyrphostin B42),MCF7,100.0,24.0,527,C1=CC=C(C=C1)CNC(=O)/C(=C/C2=CC(=C(C=C2)O)O)/C#N,O=C(/C=C/c1ccccc1)NCc1ccccc1,5328779,train,test,train,excluded
AG-490 (Tyrphostin B42)__MCF7__1000nM__24h,AG-490 (Tyrphostin B42),AG-490 (Tyrphostin B42),MCF7,1000.0,24.0,433,C1=CC=C(C=C1)CNC(=O)/C(=C/C2=CC(=C(C=C2)O)O)/C#N,O=C(/C=C/c1ccccc1)NCc1ccccc1,5328779,train,test,train,excluded
AG-490 (Tyrphostin B42)__MCF7__10000nM__24h,AG-490 (Tyrphostin B42),AG-490 (Tyrphostin B42),MCF7,10000.0,24.0,512,C1=CC=C(C=C1)CNC(=O)/C(=C/C2=CC(=C(C=C2)O)O)/C#N,O=C(/C=C/c1ccccc1)NCc1ccccc1,5328779,train,test,train,excluded
AG-14361__A549__10nM__24h,AG-14361,AG-14361,A549,10.0,24.0,264,CN(C)CC1=CC=C(C=C1)C2=NC3=CC=CC4=C3N2CCNC4=O,O=C1NCCn2c(-c3ccccc3)nc3cccc1c32,9840076,train,train,train,train
AG-14361__A549__100nM__24h,AG-14361,AG-14361,A549,100.0,24.0,254,CN(C)CC1=CC=C(C=C1)C2=NC3=CC=CC4=C3N2CCNC4=O,O=C1NCCn2c(-c3ccccc3)nc3cccc1c32,9840076,train,train,train,train
AG-14361__A549__1000nM__24h,AG-14361,AG-14361,A549,1000.0,24.0,209,CN(C)CC1=CC=C(C=C1)C2=NC3=CC=CC4=C3N2CCNC4=O,O=C1NCCn2c(-c3ccccc3)nc3cccc1c32,9840076,train,train,train,train
AG-14361__A549__10000nM__24h,AG-14361,AG-14361,A549,10000.0,24.0,233,CN(C)CC1=CC=C(C=C1)C2=NC3=CC=CC4=C3N2CCNC4=O,O=C1NCCn2c(-c3ccccc3)nc3cccc1c32,9840076,test,train,train,train
