drug_name,smiles,scaffold,pubchem_cid,fingerprint_row
2-Methoxyestradiol (2-MeOE2),C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2O)CCC4=CC(=C(C=C34)OC)O,c1ccc2c(c1)CC[C@@H]1[C@@H]2CCC2CCC[C@H]21,66414,0
(+)-JQ1,CC1=C(SC2=C1C(=N[C@H](C3=NN=C(N32)C)CC(=O)OC(C)(C)C)C4=CC=C(C=C4)Cl)C,c1ccc(C2=NCc3nncn3-c3sccc32)cc1,46907787,1
A-366,COC1=C(C=C2C(=C1)C3(CCC3)C(=N2)N)OCCCN4CCCC4,C1=Nc2cc(OCCCN3CCCC3)ccc2C12CCC2,76285486,2
ABT-737,CN(C)CC[C@H](CSC1=CC=CC=C1)NC2=C(C=C(C=C2)S(=O)(=O)NC(=O)C3=CC=C(C=C3)N4CCN(CC4)CC5=CC=CC=C5C6=CC=C(C=C6)Cl)[N+](=O)[O-],O=C(NS(=O)(=O)c1ccc(NCCSc2ccccc2)cc1)c1ccc(N2CCN(Cc3ccccc3-c3ccccc3)CC2)cc1,11228183,3
AC480 (BMS-599626),CC1=C2C(=NC=NN2C=C1NC(=O)OC[C@@H]3COCCN3)NC4=CC5=C(C=C4)N(N=C5)CC6=CC(=CC=C6)F,O=C(Nc1cc2c(Nc3ccc4c(cnn4Cc4ccccc4)c3)ncnn2c1)OC[C@@H]1COCCN1,10437018,4
AG-490 (Tyrphostin B42),C1=CC=C(C=C1)CNC(=O)/C(=C/C2=CC(=C(C=C2)O)O)/C#N,O=C(/C=C/c1ccccc1)NCc1ccccc1,5328779,5
AG-14361,CN(C)CC1=CC=C(C=C1)C2=NC3=CC=CC4=C3N2CCNC4=O,O=C1NCCn2c(-c3ccccc3)nc3cccc1c32,9840076,6
AICAR (Acadesine),C1=NC(=C(N1[C@H]2[C@@H]([C@@H]([C@H](O2)CO)O)O)N)C(=O)N,c1cn([C@H]2CCCO2)cn1,17513,7
AMG-900,CC1=CSC(=C1)C2=NN=C(C3=CC=CC=C32)NC4=CC=C(C=C4)OC5=C(C=CC=N5)C6=NC(=NC=C6)N,c1csc(-c2nnc(Nc3ccc(Oc4ncccc4-c4ccncn4)cc3)c3ccccc23)c1,24856041,8
AR-42,CC(C)[C@@H](C1=CC=CC=C1)C(=O)NC2=CC=C(C=C2)C(=O)NO,O=C(Cc1ccccc1)Nc1ccccc1,6918848,9
AT9283,C1CC1NC(=O)NC2=C(NN=C2)C3=NC4=C(N3)C=C(C=C4)CN5CCOCC5,O=C(Nc1cn[nH]c1-c1nc2ccc(CN3CCOCC3)cc2[nH]1)NC1CC1,135398495,10
AZ 960,CC1=CC(=NN1)NC2=C(C=C(C(=N2)N[C@@H](C)C3=CC=C(C=C3)F)C#N)F,c1ccc(CNc2cccc(Nc3cc[nH]n3)n2)cc1,25099184,11
AZD1480,CC1=CC(=NN1)NC2=NC(=NC=C2Cl)N[C@@H](C)C3=NC=C(C=N3)F,c1cnc(CNc2nccc(Nc3cc[nH]n3)n2)nc1,16659841,12
Abexinostat (PCI-24781),CN(C)CC1=C(OC2=CC=CC=C21)C(=O)NCCOC3=CC=C(C=C3)C(=O)NO,O=C(NCCOc1ccccc1)c1cc2ccccc2o1,11749858,13
Alendronate sodium trihydrate,C(CC(O)(P(=O)(O)O)P(=O)(O)[O-])CN.O.O.O.[Na+],,23681107,14
Alisertib (MLN8237),COC1=C(C(=CC=C1)F)C2=NCC3=CN=C(N=C3C4=C2C=C(C=C4)Cl)NC5=CC(=C(C=C5)C(=O)O)OC,c1ccc(Nc2ncc3c(n2)-c2ccccc2C(c2ccccc2)=NC3)cc1,24771867,15
Altretamine,CN(C)C1=NC(=NC(=N1)N(C)C)N(C)C,c1ncncn1,2123,16
Alvespimycin (17-DMAG) HCl,C[C@H]1C[C@@H]([C@@H]([C@H](/C=C(/[C@@H]([C@H](/C=C\C=C(\C(=O)NC2=CC(=O)C(=C(C1)C2=O)NCCN(C)C)/C)OC)OC(=O)N)\C)C)O)OC.Cl,O=C1C=C2CCCCCC/C=C/CC/C=C\C=C\C(=O)NC(=C1)C2=O,9852573,17
Aminoglutethimide ,CCC1(CCC(=O)NC1=O)C2=CC=C(C=C2)N,O=C1CCC(c2ccccc2)C(=O)N1,2145,18
Amisulpride,CCN1CCCC1CNC(=O)C2=CC(=C(C=C2OC)N)S(=O)(=O)CC,O=C(NCC1CCCN1)c1ccccc1,2159,19
Anacardic Acid,CCCCCCCCCCCCCCCC1=C(C(=CC=C1)O)C(=O)O,c1ccccc1,167551,20
Andarine,CC(=O)NC1=CC=C(C=C1)OC[C@@](C)(C(=O)NC2=CC(=C(C=C2)[N+](=O)[O-])C(F)(F)F)O,O=C(CCOc1ccccc1)Nc1ccccc1,9824562,21
Aurora A Inhibitor I,CCN1CCN(CC1)C(=O)CC2=CC=C(C=C2)NC3=NC=C(C(=N3)NC4=CC=C(C=C4)C(=O)NC5=CC=CC=C5Cl)F,O=C(Nc1ccccc1)c1ccc(Nc2ccnc(Nc3ccc(CC(=O)N4CCNCC4)cc3)n2)cc1,44139710,22
Avagacestat (BMS-708163),C1=CC(=CC=C1S(=O)(=O)N(CC2=C(C=C(C=C2)C3=NOC=N3)F)[C@H](CCC(F)(F)F)C(=O)N)Cl,O=S(=O)(NCc1ccc(-c2ncon2)cc1)c1ccccc1,46883536,23
Azacitidine ,C1=NC(=NC(=O)N1[C@H]2[C@@H]([C@@H]([C@H](O2)CO)O)O)N,O=c1ncncn1[C@H]1CCCO1,9444,24
BMS-265246,CCCCOC1=C(C=NC2=NNC=C12)C(=O)C3=C(C=C(C=C3F)C)F,O=C(c1ccccc1)c1cnc2n[nH]cc2c1,135402864,25
BMS-536924,CC1=CC(=CC2=C1N=C(N2)C3=C(C=CNC3=O)NC[C@H](C4=CC(=CC=C4)Cl)O)N5CCOCC5,O=c1[nH]ccc(NCCc2ccccc2)c1-c1nc2ccc(N3CCOCC3)cc2[nH]1,135440466,26
BMS-754807,C[C@]1(CCCN1C2=NN3C=CC=C3C(=N2)NC4=NNC(=C4)C5CC5)C(=O)NC6=CN=C(C=C6)F,O=C(Nc1cccnc1)C1CCCN1c1nc(Nc2cc(C3CC3)[nH]n2)c2cccn2n1,24785538,27
BMS-911543,CCN1C(=CC2=C3C(=C(N=C21)NC4=NN(C(=C4)C)C)N=CN3C)C(=O)N(C5CC5)C6CC6,O=C(c1cc2c(nc(Nc3cc[nH]n3)c3nc[nH]c32)[nH]1)N(C1CC1)C1CC1,50922691,28
BRD4770,COC(=O)C1=CC2=C(C=C1)N(C(=N2)NC(=O)C3=CC=CC=C3)CCCC4=CC=CC=C4,O=C(Nc1nc2ccccc2n1CCCc1ccccc1)c1ccccc1,72193870,29
Barasertib (AZD1152-HQPA),CCN(CCCOC1=CC2=C(C=C1)C(=NC=N2)NC3=NNC(=C3)CC(=O)NC4=CC(=CC=C4)F)CCO,O=C(Cc1cc(Nc2ncnc3ccccc23)n[nH]1)Nc1ccccc1,16007391,30
"Baricitinib (LY3009104, INCB028050)",CCS(=O)(=O)N1CC(C1)(CC#N)N2C=C(C=N2)C3=C4C=CNC4=NC=N3,c1nc(-c2cnn(C3CNC3)c2)c2cc[nH]c2n1,44205240,31
